#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_S_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                        <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM3_rates_prior.s:HRTV_S_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM3rates.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_S_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0016226</parameter>
#            <LogNormal id="LogNormalDistributionModel.4" name="distr">
#                <parameter estimate="false" id="RealParameter.18" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.19" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_S_BEAST" name="distribution" x="@popSize.t:HRTV_S_BEAST">
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_S_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.769</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_S_BEAST" id="treeLikelihood.HRTV_S_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_S_BEAST">
#            <siteModel id="SiteModel.s:HRTV_S_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_S_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_S_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_S_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM3.s:HRTV_S_BEAST" rates="@TPM3rates.s:HRTV_S_BEAST" spec="substmodels.nucleotide.TPM3"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_S_BEAST" id="StrictClock.c:HRTV_S_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	proportionInvariant	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	popSize	CoalescentConstant	clockRate
0	-3650.2540862476535	-3567.302244949147	-82.95184129850676	-3567.302244949147	28.680623622108843	119.10482590643566	0.875952049432181	0.12986699399981017	2.108035118598224	0.7620978874019689	0.12986699399981017	2.108035118598224	0.7620978874019689	10.143874606738441	-65.72096437805212	0.0011216808623734844
1000	-3655.835131822842	-3575.198858932084	-80.63627289075795	-3575.198858932084	26.358979838809294	107.34770158346139	0.875952049432181	0.04698616175564671	2.108035118598224	0.8449787196461324	0.04698616175564671	2.108035118598224	0.8449787196461324	10.640825748918887	-63.22243804686245	0.0011266698008341029
2000	-3646.12101417591	-3576.020983923502	-70.10003025240783	-3576.020983923502	18.793935075067076	75.80086575504745	0.875952049432181	0.04698616175564671	2.073866262767368	0.8791475754769881	0.04698616175564671	2.073866262767368	0.8791475754769881	6.854893092948249	-55.80374339775774	0.0017367016296773318
3000	-3706.4696563568386	-3635.178055306185	-71.29160105065365	-3635.178055306185	19.142428256357537	79.72921496047451	0.875952049432181	0.04698616175564671	2.073866262767368	0.8791475754769881	0.04698616175564671	2.073866262767368	0.8791475754769881	6.854893092948249	-58.00842867835987	0.0022979135679507216
4000	-3717.857880916935	-3638.435468487036	-79.4224124298988	-3638.435468487036	18.26611723263095	91.44247460022018	0.875952049432181	0.24588347533554755	1.9732801959794963	0.780836328684959	0.24588347533554755	1.9732801959794963	0.780836328684959	12.060694599162664	-64.166093038387	0.0023405525751728747
5000	-3701.83615168653	-3631.112175440093	-70.72397624643696	-3631.112175440093	18.791783172846255	77.68266372792682	0.875952049432181	0.24588347533554755	1.9732801959794963	0.780836328684959	0.24588347533554755	1.9732801959794963	0.780836328684959	6.435158753104854	-57.67682836335169	0.00235697884139965
6000	-3684.1266845263167	-3612.2595878070847	-71.8670967192322	-3612.2595878070847	24.077768334172728	88.41461512131686	0.875952049432181	0.3474486569323113	1.9732801959794963	0.6792711470881952	0.3474486569323113	1.9732801959794963	0.6792711470881952	7.413176456847843	-57.80194910693717	0.001953639161739064
7000	-3631.475979252292	-3568.658820870084	-62.81715838220766	-3568.658820870084	19.008472264887217	63.74420696242107	0.875952049432181	0.22269428517733653	2.15753534518616	0.6197703696365068	0.22269428517733653	2.15753534518616	0.6197703696365068	4.8628865726518535	-49.375278770359984	0.001834286112236272
8000	-3647.1007750364206	-3577.6329274553755	-69.46784758104494	-3577.6329274553755	17.94031788291537	76.11486505686786	0.7228581273089228	0.2935113661857809	2.0008489047341564	0.7056397290800659	0.2935113661857809	2.0008489047341564	0.7056397290800659	5.6794684825143245	-56.75970165600869	0.0024155885474690954
9000	-3701.529942305753	-3637.937363123714	-63.592579182038925	-3637.937363123714	16.57274280282071	64.90024947423717	0.7228581273089228	0.2964626675181333	2.1676056275987516	0.5359317048831185	0.2964626675181333	2.1676056275987516	0.5359317048831185	5.980374269064034	-51.704567761498986	0.003162650088747315
10000	-3652.290912923739	-3590.009848261211	-62.28106466252817	-3590.009848261211	18.47981187278186	63.16030327217943	0.7228581273089228	0.1959046433844593	2.1676056275987516	0.6364897290167926	0.1959046433844593	2.1676056275987516	0.6364897290167926	6.351369034810724	-48.80545847254402	0.0020723899624275097
11000	-3726.8357110380894	-3677.4006185029693	-49.43509253511998	-3677.4006185029693	19.085395965498112	51.54252287123205	0.7228581273089228	0.19482108500932005	2.1676056275987516	0.6375732873919318	0.19482108500932005	2.1676056275987516	0.6375732873919318	3.034606299070507	-38.265790880102294	0.0030915261746758123
12000	-3722.9094715432398	-3662.6550192885184	-60.254452254721286	-3662.6550192885184	17.885928197445594	61.93009972203208	0.7228581273089228	0.1813232527727067	2.004310341855135	0.8143664053721617	0.1813232527727067	2.004310341855135	0.8143664053721617	3.979263071402065	-48.46022621765194	0.0027272380224468294
13000	-3729.754295946733	-3673.2281434040183	-56.526152542714584	-3673.2281434040183	17.920818670199836	56.29513518763533	0.7228581273089228	0.05928927135523694	2.1263443232726047	0.8143664053721617	0.05928927135523694	2.1263443232726047	0.8143664053721617	3.9767223668181937	-45.709015720924526	0.0036582007736204016
14000	-3656.913512131798	-3594.8068976572076	-62.10661447459047	-3594.8068976572076	16.569115111849545	56.710771540672354	0.7228581273089228	0.05928927135523694	2.1263443232726047	0.8143664053721617	0.05928927135523694	2.1263443232726047	0.8143664053721617	7.087214419273858	-49.40941703395686	0.0027868776199099564
15000	-3652.784275865419	-3592.802556219492	-59.98171964592708	-3592.802556219492	16.645924277808138	60.11829515834157	0.7228581273089228	0.15321830716912913	2.045525985110341	0.8012557077205333	0.15321830716912913	2.045525985110341	0.8012557077205333	4.44853416563038	-48.121873046226995	0.002773597672928471
16000	-3728.6950384522347	-3663.958688878775	-64.73634957345976	-3663.958688878775	18.575803869172873	68.00504239580317	0.7228581273089228	0.15321830716912913	2.045525985110341	0.8012557077205333	0.15321830716912913	2.045525985110341	0.8012557077205333	7.4310915930704935	-51.82421062854172	0.0027140542215292854
