#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
0	0:2.7895462120476386	1.3451684798953458	1.655833762755119	2.296848814820226	3.9545664193613295:5.6311305E-317	3.9545664193613295:8.217603856315678E-9	4.014952692820838:1.2232219654818628	4.723331912303019:7.87003781972E-312	4.723331912303019:0.0011519049212435687	5.031562404360223	6.609967599957805:4.209698765187643	8.515331352194746	8.616869847638462	9.241353630386309	10.851552766385359	11.05221285914303	11.424382470454018	14.120777587029776	17.790603390837365	17.790603390837365:4.9E-324
5000	0:2.9906399802505885	0.9387919993702627	1.0732238033799526	1.776735803530621	3.9545664193613295:1.4392521E-316	3.9545664193613295:2.071777704556035E-8	4.013154870261364:1.2356280185236417	4.723331912303019:4.7766472464053E-311	4.723331912303019:0.0025120180615005065	5.038382795613165	6.787885366570289:3.3785848538620553	7.249723694930498	9.539099548131736	9.751191259208095	10.355972107528666	11.112444332611961	11.48057845879098	14.045868893477635	18.11649592141366	18.11649592141366:4.9E-324
10000	0:2.033103092656094	0.007006320839912261	1.3821822946852393	1.3832310224831692	3.9545664193613295:4.5149588E-316	3.9545664193613295:4.620061135942745E-9	4.0139169917658215:0.5762517585551197	4.780300441238545:2.24696672310947E-310	4.780300441238545:0.008360404796024094	5.072143364895763	5.492812777687743:4.080386470671014	7.9768808476340824	8.337551446124317	8.794871856832094	11.062755430357937	11.311845687096438	11.736514637427884	14.132481117056912	18.133357263577892	18.133357263577892:4.9E-324
15000	0:3.719167212711667	1.2282868229673412	2.152036652370547	2.3792739070612003	3.9545664193613295:2.90952403E-316	3.9545664193613295:4.846962906507119E-9	4.005638788088024:1.6706387352193142	4.858565207692858:3.88365658422E-312	4.858565207692858:6.263600969733349E-4	5.099840903720318	5.790230242408584:1.9551227440875159	6.485098140423994	7.026926218571111	8.456937538116556	10.16491630821958	12.325135432382037	12.508525503152004	14.238947430566288	18.176050554671296	18.176050554671296:4.9E-324
20000	0:4.154056574964117	0.4232963560824261	1.059446172174241	1.4523810933946586	3.936847659874386:2.7398176E-316	3.936847659874386:2.3379926197751225E-8	4.17000296671073:3.7752953284411928	4.699516913746077:1.48366744901E-312	4.699516913746077:1.3256296920190568E-4	5.06829949482131:5.108280165542304	7.735131121027197	9.343810126193945	9.989519998808326	10.325499207439144	11.413202222854169	11.783372878622734	12.512348102933347	14.025684118642717	17.785050086662768	17.785050086662768:4.9E-324
25000	0:6.005058105549829	1.2630468708341769	1.9893619421740178	2.2623350379019076	3.857417346137554:3.3178678E-316	3.857417346137554:4.4375152064701373E-8	4.302447806629795:1.890059554974715	4.626929515551715:2.021227947837E-312	4.626929515551715:2.8147638107989465E-4	5.07271607718924:8.559857929029802	7.7519147746659325	9.348562116479243	9.459646852250438	10.783633367906061	11.270674179099734	13.09930180092831	13.569525566562145	14.109645263654281	16.420770829531094	16.420770829531094:4.9E-324
30000	0:2.2813047773708086	0.7674734808934179	1.3659050565103525	2.284784105775631	3.857417346137554:3.2562542523E-314	3.857417346137554:5.489326802060469E-7	4.110867935203329:2.0148231933283167	4.553169976477306:1.2611128532855E-311	4.553169976477306:0.0013545450800802514	5.788629754839889:7.7691641739295525	6.3049282716107795	8.76244072943116	8.949818304567282	10.655659669593632	11.377387393627195	12.270332509185085	12.697535778940068	14.148451310870263	17.74283748547802	17.74283748547802:1.0E-323
35000	0:3.9556916428871975	1.286047607091762	1.5387184025183458	1.551475154229913	3.6343422733404314:1.570934033E-315	3.6343422733404314:1.283103512077788E-7	4.020403054165128:0.7347666899537216	4.270812743036713:1.0540672469592E-310	4.270812743036713:0.012686797780482388	5.220628504523596:5.952698189168617	6.812782383753641	9.356305811188673	10.124454137073554	10.330627559691102	11.178879643839416	11.547182081084436	12.023377437004351	14.02833150792136	17.37736187098225	17.37736187098225:4.9E-324
40000	0:1.6799747021352593	0.6521993631106723	1.153924028739018	1.8626173208288768	3.6343422733404314:7.872650578E-314	3.6343422733404314:3.911193221428733E-6	4.1152200721088805:1.8984921493050804	4.294849707444477:4.818311104274234E-309	4.294849707444477:0.16719115242339885	6.3159267522989895:3.112234587422105	6.759702568016856	6.854060787619597	7.665642751945214	9.464410321518258	11.098221184674854	11.519048235638648	12.672153080939482	14.0380952772491	16.982087098162978	16.982087098162978:4.9E-324
45000	0:4.807877473857099	0.1902810388461976	1.296382362091344	1.3348676015637682	3.590998711044466:6.950387302255E-312	3.590998711044466:5.896748380329656E-4	4.034161557333162:0.7668146945404567	4.169933150013447:2.12300981431653E-310	4.169933150013447:0.019532677621479925	8.12804520326631:17.074006325787433	8.163088811569928:0.9369951914989749	8.165760862219294:4.248980204629056	8.71933120326107	10.854167760800388	10.982591113064732	12.159069964898558	12.35486744224123	14.399779281796727	16.289707043536048	16.289707043536048:4.9E-324
