#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_L_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="">
#                        <taxa id="TaxonSet.HRTV_L_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_L_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TIM3uf_frequencies_prior.s:HRTV_L_BEAST" name="distribution">
#            <parameter dimension="4" id="TIM3uffreqParameter.s:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.35" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.59" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="Standard_TIM3uf_rates_prior.s:HRTV_L_BEAST" name="distribution">
#            <parameter dimension="4" id="TIM3ufrates.s:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.34" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.58" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_L_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0012566</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_L_BEAST" name="distribution" x="@popSize.t:HRTV_L_BEAST">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.10" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.11" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_L_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.801</parameter>
#            <Uniform id="Uniform.21" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_L_BEAST" id="treeLikelihood.HRTV_L_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_L_BEAST">
#            <siteModel id="SiteModel.s:HRTV_L_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_L_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_L_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_L_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TIM3uf.s:HRTV_L_BEAST" rates="@TIM3ufrates.s:HRTV_L_BEAST" spec="substmodels.nucleotide.TIM3uf">
#                    <frequencies frequencies="@TIM3uffreqParameter.s:HRTV_L_BEAST" id="TIM3ufFreqs.s:HRTV_L_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_L_BEAST" id="StrictClock.c:HRTV_L_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	proportionInvariant	popSize	CoalescentConstant	clockRate
0	-11823.732212240004	-11853.125956636992	29.393744396988904	-11853.125956636992	0.0857661914040587	0.41723707675171934	0.35219640722029555	0.19594255146153838	0.19139504335841873	0.26046599795974834	0.08718342406479274	1.697239920583899	0.4478310991561533	0.08718342406479274	3.232731032974203	0.4478310991561533	0.4153055970424416	0.1077506828436441	29.956689801856374	0.15595383927820178
1000	-11831.396069294036	-11865.07153331973	33.675464025692385	-11865.07153331973	0.04044023582507341	0.2604360863454573	0.34163173193077034	0.19594255146153838	0.20195971864794393	0.26046599795974834	0.04457054862341524	1.782465671466654	0.4478310991561533	0.04457054862341524	3.232731032974203	0.4478310991561533	0.4153055970424416	0.04261926453738674	35.12576502003582	0.28052510203289405
2000	-11841.07929069199	-11861.714625281034	20.635334589043595	-11861.714625281034	0.0796842788229486	0.5359727275988844	0.34163173193077034	0.20343452115760963	0.1944677489518727	0.26046599795974834	0.04457054862341524	1.69604633257483	0.4478310991561533	0.04457054862341524	3.3191503718660273	0.4478310991561533	0.4153055970424416	0.14948974826773426	21.131294814512355	0.11899674800878576
3000	-11878.018245894185	-11897.775546370338	19.757300476151684	-11897.775546370338	0.09803546598774157	0.6236643686369541	0.34163173193077034	0.20343452115760963	0.20006911867041005	0.254864628241211	0.04457054862341524	1.69604633257483	0.4478310991561533	0.04457054862341524	3.3191503718660273	0.4478310991561533	0.4153055970424416	0.14641106795075015	20.4376851598213	0.10159546453233388
4000	-11858.352939407405	-11878.707121718191	20.354182310785536	-11878.707121718191	0.06790688741873559	0.5001979591838959	0.3315731252519832	0.2134931278363968	0.20006911867041005	0.254864628241211	0.04457054862341524	1.69604633257483	0.4478310991561533	0.04457054862341524	3.3191503718660273	0.4478310991561533	0.4153055970424416	0.1698390365373676	20.54240286588798	0.14804462566595497
5000	-11730.79397845747	-11763.04878228653	32.254803829060364	-11763.04878228653	0.03488819719652341	0.2649369077700067	0.3289235906566382	0.22311439208296163	0.19309738901919019	0.254864628241211	0.04457054862341524	1.69604633257483	0.4478310991561533	0.04457054862341524	3.3191503718660273	0.4478310991561533	0.4153055970424416	0.08430475064834816	32.86089840121281	0.2165285504203319
6000	-11837.582675833137	-11892.874252531175	55.291576698039336	-11892.874252531175	0.010745745288401765	0.07223066069762088	0.305787691449453	0.2218598295901258	0.20232514896957202	0.27002732999085016	0.04457054862341524	1.69604633257483	0.3573809615105977	0.04457054862341524	3.5000506471571384	0.3573809615105977	0.4153055970424416	0.01864459361333939	58.587630014741706	1.781204704326385
7000	-11894.106854849488	-11951.734451809325	57.62759695983803	-11951.734451809325	0.0065742025389927735	0.05476587649408143	0.31294170498661555	0.2218598295901258	0.1951711354324095	0.27002732999085016	0.04457054862341524	1.5948596017881327	0.48731013905610177	0.04457054862341524	3.3413790228528275	0.48731013905610177	0.4153055970424416	0.016887850730679534	60.81291801597674	0.9547445229544029
8000	-11846.147901972678	-11892.087084328728	45.93918235605162	-11892.087084328728	0.01926775189580901	0.13402664163709843	0.3271824604776202	0.20761907409912117	0.1951711354324095	0.27002732999085016	0.04457054862341524	1.701024607950897	0.4342276359747196	0.04457054862341524	3.3413790228528275	0.4342276359747196	0.4153055970424416	0.03889731616165193	47.3886218497083	0.6495486742272031
9000	-11875.5562616021	-11916.703480146145	41.147218544045394	-11916.703480146145	0.024646658977043195	0.1672797187274607	0.3343497236795039	0.19652443694795949	0.18515014347062533	0.28397569590191235	0.14917398781675595	1.701024607950897	0.3296241967813789	0.14917398781675595	3.3413790228528275	0.3296241967813789	0.5356588771814793	0.03423353207691934	42.850258281321686	0.7910724770175377
10000	-11795.713865350303	-11832.420558729451	36.706693379149215	-11832.420558729451	0.036057769662210824	0.22846293546200327	0.3343497236795039	0.20776709645830707	0.18515014347062533	0.27273303639156476	0.14917398781675595	1.701024607950897	0.3594333486268921	0.14917398781675595	3.281760719161801	0.3594333486268921	0.724268005507146	0.04581224009578206	38.00537101476667	0.30326547843118945
11000	-11859.124846809387	-11891.109147465493	31.984300656106516	-11891.109147465493	0.05707790326235603	0.3135527200709061	0.319071452714835	0.21575120399598835	0.18515014347062533	0.28002719981855234	0.14917398781675595	1.701024607950897	0.3594333486268921	0.14917398781675595	3.281760719161801	0.3594333486268921	0.724268005507146	0.09697903700835425	32.53328137290125	0.18435501715706512
12000	-11762.168431964294	-11800.01831818345	37.84988621915724	-11800.01831818345	0.04340741863973473	0.24361465950290354	0.319071452714835	0.21575120399598835	0.18515014347062533	0.28002719981855234	0.21735983532342648	1.7991983926618629	0.3957788159515236	0.21735983532342648	2.9745243047882313	0.3957788159515236	0.724268005507146	0.044801266647519156	39.270922563954734	0.2517658876807302
13000	-11750.203625395206	-11815.563659154244	65.36003375903798	-11815.563659154244	0.006294631246977085	0.04540071750095769	0.319071452714835	0.21575120399598835	0.18515014347062533	0.28002719981855234	0.21735983532342648	1.7301173884260546	0.4303193180694277	0.21735983532342648	2.9745243047882313	0.4303193180694277	0.724268005507146	0.011329136391578802	69.86762055425564	1.8836623027758095
