#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_M_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="">
#                        <taxa id="TaxonSet.HRTV_M_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_M_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM2uf_frequencies_prior.s:HRTV_M_BEAST" name="distribution">
#            <parameter dimension="4" id="TPM2uffreqParameter.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.3" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.3" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="Standard_TPM2uf_rates_prior.s:HRTV_M_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM2ufrates.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.2" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.2" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_M_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0028166</parameter>
#            <LogNormal id="LogNormalDistributionModel.4" name="distr">
#                <parameter estimate="false" id="RealParameter.17" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.18" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:HRTV_M_BEAST" name="distribution">
#            <parameter id="gammaShape.s:HRTV_M_BEAST" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">0.269</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_M_BEAST" name="distribution" x="@popSize.t:HRTV_M_BEAST">
#            <LogNormal id="LogNormalDistributionModel.5" name="distr">
#                <parameter estimate="false" id="RealParameter.19" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.20" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_M_BEAST" id="treeLikelihood.HRTV_M_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_M_BEAST">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HRTV_M_BEAST" shape="@gammaShape.s:HRTV_M_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_M_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HRTV_M_BEAST" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Standard_TPM2uf.s:HRTV_M_BEAST" rates="@TPM2ufrates.s:HRTV_M_BEAST" spec="substmodels.nucleotide.TPM2uf">
#                    <frequencies frequencies="@TPM2uffreqParameter.s:HRTV_M_BEAST" id="TPM2ufFreqs.s:HRTV_M_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_M_BEAST" id="StrictClock.c:HRTV_M_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	popSize	CoalescentConstant	clockRate
0	-6776.649293393314	-6796.009773729534	19.36048033621946	-6796.009773729534	0.6424085651646265	1.5736148027811807	0.9077182682676819	0.3288356565970565	0.13519215346410512	0.3386840852414372	0.19728810469739871	0.7662597625042843	1.7846086225901743	0.7662597625042843	0.449131614905525	1.7846086225901743	0.449131614905525	0.13738858317586522	22.49885116718854	0.073260123120106
1000	-6695.512819755497	-6711.324779551822	15.81195979632522	-6711.324779551822	0.3273192700224081	1.1697289655609928	0.9077182682676819	0.3288356565970565	0.13519215346410512	0.3386840852414372	0.19728810469739871	0.8567863358503571	1.7846086225901743	0.8567863358503571	0.3586050415594522	1.7846086225901743	0.3586050415594522	0.13738858317586522	18.80748375396717	0.08193104517671816
2000	-6607.058167732368	-6643.487949959945	36.4297822275768	-6643.487949959945	0.08945606240072229	0.31942422256894226	0.40489395496169445	0.33914713949818537	0.13519215346410512	0.32837260234030835	0.19728810469739871	0.8567863358503571	1.8567520974686882	0.8567863358503571	0.2864615666809384	1.8567520974686882	0.2864615666809384	0.059601197393684274	38.93459488866947	0.24307435394605342
3000	-6624.869124370496	-6671.573330032114	46.704205661618424	-6671.573330032114	0.05463404771017599	0.18007837316956815	0.40489395496169445	0.33914713949818537	0.13519215346410512	0.32837260234030835	0.19728810469739871	0.7110620432659016	1.8567520974686882	0.7110620432659016	0.432185859265394	1.8567520974686882	0.432185859265394	0.040358988168530056	49.62564391810285	0.4056804048155197
4000	-6682.3045945607055	-6711.512287125535	29.207692564829564	-6711.512287125535	0.12658255239322255	0.46479106533842485	0.40489395496169445	0.33914713949818537	0.13519215346410512	0.3418948752733807	0.18376583176432637	0.8727060134114599	1.619342213750163	0.8727060134114599	0.5079517728383608	1.619342213750163	0.5079517728383608	0.09321253447261206	31.204595435179556	0.21413972493534145
5000	-6880.666722110107	-6886.075749177204	5.409027067097167	-6886.075749177204	0.2944108178905012	1.383468661337439	0.40489395496169445	0.35014171093891044	0.13519215346410512	0.3418948752733807	0.1727712603236013	0.9672014233586734	1.5248468038029495	0.9672014233586734	0.5079517728383608	1.5248468038029495	0.5079517728383608	0.2722424499014463	7.407884093394148	0.08333017275258811
6000	-6782.715011087281	-6793.430854391216	10.715843303934909	-6793.430854391216	0.26406476342598534	1.1077420919859873	0.40489395496169445	0.3409139509885286	0.13519215346410512	0.3511226352237625	0.1727712603236013	1.0928159919592282	1.6351545468670727	1.0928159919592282	0.2720294611736827	1.6351545468670727	0.2720294611736827	0.12367799764862356	12.618933532817762	0.16028975915688481
7000	-6697.7966178092165	-6731.631497009295	33.83487920007922	-6731.631497009295	0.06448613487393785	0.30062927174330534	0.26288439737683544	0.3409139509885286	0.13519215346410512	0.3511226352237625	0.1727712603236013	1.0928159919592282	1.419919310393341	1.0928159919592282	0.4872646976474144	1.419919310393341	0.4872646976474144	0.07230130325260756	35.73067348974729	0.414542582412611
8000	-6784.745597080828	-6804.312714730071	19.567117649243748	-6804.312714730071	0.13667945192512657	0.6661754279996002	0.26288439737683544	0.3409139509885286	0.13519215346410512	0.3511226352237625	0.1727712603236013	1.0928159919592282	1.419919310393341	1.0928159919592282	0.4872646976474144	1.419919310393341	0.4872646976474144	0.117009241272465	21.537432064464735	0.13423440806004064
9000	-6728.242332207907	-6739.52151770461	11.279185496703597	-6739.52151770461	0.40798806554934264	1.4037975828515357	0.48681870354704426	0.33018849932345584	0.14494287326608096	0.3381649299727227	0.18670369743773804	1.0928159919592282	1.5230596809787103	1.0928159919592282	0.3841243270620451	1.5230596809787103	0.3841243270620451	0.2447320102902577	12.957908160431952	0.12626548046645
10000	-6802.042766792934	-6812.363088252463	10.320321459528307	-6812.363088252463	0.4693632799876669	1.6628427156688645	0.48681870354704426	0.33018849932345584	0.15607456703590464	0.3381649299727227	0.17557200366791437	1.3709523336226916	1.5826779846697365	1.3709523336226916	0.04636968170755519	1.5826779846697365	0.04636968170755519	0.18493629282223947	12.588315026363244	0.08635135461390739
11000	-6702.200798090414	-6735.309301474455	33.10850338404182	-6735.309301474455	0.10508084229418892	0.40182159623156366	0.26986519960587774	0.3171250941549831	0.15607456703590464	0.35122833514119545	0.17557200366791437	1.3709523336226916	1.5003154385121042	1.3709523336226916	0.12873222786518757	1.5003154385121042	0.12873222786518757	0.03872334801049835	36.57335390939152	0.137804601939995
12000	-6641.519450459955	-6679.300233848782	37.78078338882737	-6679.300233848782	0.09363628648475407	0.3379353372595959	0.26986519960587774	0.3171250941549831	0.15607456703590464	0.35122833514119545	0.17557200366791437	1.3709523336226916	1.5003154385121042	1.3709523336226916	0.12873222786518757	1.5003154385121042	0.12873222786518757	0.04817888066620121	40.349485087214326	0.31764138051982926
13000	-6837.681246806678	-6875.058697523995	37.37745071731693	-6875.058697523995	0.061946234076558464	0.2623333064015022	0.1262667698527815	0.3171250941549831	0.14479588157248788	0.3625070206046122	0.17557200366791437	1.284045535828931	1.5872222363058648	1.284045535828931	0.12873222786518757	1.5872222363058648	0.12873222786518757	0.0743033812674372	39.440196984096346	0.19390326019626605
14000	-6596.443827928296	-6633.338588362245	36.894760433949344	-6633.338588362245	0.06337006297417246	0.2794700270937005	0.1262667698527815	0.3171250941549831	0.14479588157248788	0.3625070206046122	0.17557200366791437	1.284045535828931	1.5872222363058648	1.284045535828931	0.12873222786518757	1.5872222363058648	0.12873222786518757	0.05592544514965286	38.982057950767576	0.5782607660568687
