#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
0	0:5.1726865914577855	1.736075958882946	1.781238696179372	2.1528588924936543	3.794780476879245:1.1913381499061877E-308	3.794780476879245	4.096117851776768:1.2691445017589489	4.989022575445675:5.75624512624683E-309	4.989022575445675:0.1305076411260724	5.0026502164095366	10.2043357982562:28.539465154104576	11.092166011939952	14.056709542621357	14.364443343482888	14.376514765470867	15.092086894853969	15.480658504584529	16.041657922051336	18.381469438331017	18.381469438331017:4.9E-324
5000	0:4.394939796356445	0.6307256730740225	1.0395587211280102	1.490147103917746	3.794780476879245:4.4224304980144117E-308	3.794780476879245:5.313388466600448	4.477664711440916	4.989022575445675:1.9150196524103095E-308	4.989022575445675	5.000760029451952:0.4329983438833047	8.587621333500612:18.3324923573541	11.34302823927828	11.582745362740214	13.704614745043886	14.02680428964911	14.137335112777938	16.121006649078325	16.669713247674895	18.81860745754947	18.81860745754947:4.9E-324
10000	0:4.828328657823285	1.143159842849761	1.2752512331671217	1.3300068539482366	3.794780476879245:1.8583839908228006E-308	3.794780476879245	4.070962779046092:0.8998192597951634	4.989022575445675:2.411487081817E-311	4.989022575445675	5.000486739354988:0.0032314895885652275	8.267701012560655:45.20837617188462	11.521642824205111	13.157112009360262	13.962152093809246	14.039486309835954	14.680697692810623	15.600652884531126	16.555156159981294	19.490913928138163	19.490913928138163:1.0E-323
15000	0:6.2339747267035115	1.3254325081287412	1.675140293930569	2.154288903246186	3.794780476879245:1.608633400081525E-308	3.794780476879245	4.0724787797084:2.59198733589285	4.989022575445675:1.71406257144163E-310	4.989022575445675	5.000715760677139:0.030274550629866722	9.87749595739233:22.373322121610922	11.467112461945389	12.334001081096877	13.258124868737617	14.569075792601978	15.633450348604896	16.770416965774693	17.579417511766827	20.405737902652064	20.405737902652064:4.9E-324
20000	0:6.582352902742464	2.1829482907730404	2.200495451660682	2.317993793178146	3.794780476879245:2.8461540739064334E-308	3.794780476879245	4.175928974062842:4.187523441729729	4.989022575445675:3.57117582527E-312	4.989022575445675	5.00006646515136:5.257961960160962E-4	8.9900225282385:10.340181569092087	9.636926225904935	11.50180749073129	11.755507658651094	11.79395448740782	12.886141354030377	14.019914989135186	14.243482163785295	18.88237582026197	18.88237582026197:4.9E-324
25000	0:1.9981567235311783	1.1233768598912712	1.1514003516287188	1.7019858309894347	3.794780476879245:2.2487316015656313E-308	3.794780476879245:2.5406112447067355	4.077717933219464	4.989022575445675:6.24617794022937E-310	4.989022575445675	5.000025791468463:0.06205328713861213	8.900150090844225:19.457110667318553	11.420621976813637	12.290330320702322	12.686577132551115	12.755724598305468	14.447757857837948	15.914297899440218	16.5616882693299	19.194489222197976	19.194489222197976:3.0E-323
30000	0:7.645551253102612	1.4853377917160453	1.699781281343693	2.2193058802694	3.794780476879245:1.3023215175826785E-307	3.794780476879245:2.8699870871420234	4.31441652496932	4.989022575445675:1.0442430703E-312	4.989022575445675	5.0000473560645595:6.568767651938298E-5	8.905014699960875:36.55179184885821	10.725175669795268	11.623546938382994	13.302740097956441	14.37618386878729	16.294292894464412	17.542161560942898	19.575703968076965	20.809188822597363	20.809188822597363:4.9E-324
35000	0:1.3802481693710194	0.6403739861829105	1.0884887180685339	1.855810236419476	3.794780476879245:6.86997012065446E-308	3.794780476879245:3.93651816208986	4.415720736437944	4.989022575445675:9.8257900519E-313	4.989022575445675	5.00000827767102:1.226491636138002E-4	8.438028017003425:21.149699461885348	11.194341328490694	11.775231495046746	13.448796236846832	14.18635817751426	14.646758583896947	15.712755211147211	17.9674932304391	21.3086104406979	21.3086104406979:2.0E-323
40000	0:3.7344252137409715	0.4470612238052709	1.0887082207940488	2.0531580397554703	3.794780476879245:1.874222368070796E-308	3.794780476879245:3.0666084097066904	4.499865194609685	4.989022575445675:5.714560493987E-312	4.989022575445675	5.000016783429323:5.913026827605611E-5	9.075909134977877:15.91112803804979	10.652796482876074	11.342089176850871	11.345909579551554	13.299284940542009	14.079387838869831	17.670874031077734	18.59986475381032	20.787791304936224	20.787791304936224:4.9E-324
45000	0:5.237436718413885	1.2748493433844899	1.2849009325106944:2.818155548648082	1.7533397628286465	3.794780476879245:2.041459944402748E-308	3.794780476879245:2.722572766658162	4.383720783750242	4.989022575445675:1.9108210975E-313	4.989022575445675	5.000009253240139:1.8061612437816968E-5	8.533173585439:21.11610201367391	11.945706896680822	14.324540730524404	14.478225287453922	15.46150536409369	16.02502876545865	18.40838419620153	19.4413662889208	22.078981064791407	22.078981064791407:1.5E-323
50000	0:4.505749637114185	0.7736340225393397	1.0904105885499256	1.3416619579282036	3.794780476879245:1.0984027781959135E-307	3.794780476879245:5.125653259113123	4.00279554576495	4.989022575445675:9.395953581E-314	4.989022575445675	5.000004288949753:1.1921800613535845E-5	10.305803395308953:59.766124850355546	10.583133673458828	14.993529824537124	15.03819199681835	18.81947229464564	19.81614470922475	20.046982757343308	21.032205252481113	22.608938456064273	22.608938456064273:4.9E-324
55000	0:3.9555716989050307	1.678044092310666	1.9652266765421362	2.390324580690807	3.794780476879245:3.138095399865566E-308	3.794780476879245	4.195817846667617:2.570563258388537	4.989022575445675:4.525372463425E-312	4.989022575445675	5.000018415180138:7.54861035954338E-4	8.736773076005784:29.642364237721655	10.457601273789622	13.045899988492646	14.25824759143205	16.012993487552585	16.03340780296267	18.102837060730977	18.648471613478655	20.847590982096897	20.847590982096897:4.9E-324
60000	0:8.097119235099164	1.4183802660130769	1.6789618371307469	2.3901235793654294	3.794780476879245:2.8116636804635955E-307	3.794780476879245	4.098858909852667:2.682992437442438	4.989022575445675:1.744580549178367E-309	4.989022575445675	5.000899449785452:0.014291829535756827	8.437373919377931:27.280679272840523	11.201298598920644	13.797932836853825	14.069132883718733	15.820886832762152	16.57163387929466	18.381560314609942	19.71445241895887	23.206159587105944	23.206159587105944:4.9E-324
65000	0:4.807590176026656	0.19553858885130643	1.0250855552362865	2.1596990702072687	3.794780476879245:8.169777593841975E-309	3.794780476879245	4.018933386499858:1.1772207841263576	4.989022575445675:1.16555301105838E-309	4.989022575445675	5.0092548431667945:0.08513878991277961	8.990865000341898:14.330614609247245	11.7463498447042	12.806155330956633	13.009717135828254	13.929011183907317	14.504593489540751	14.540147954789955	16.281254015456568	18.513493795938736	18.513493795938736:4.9E-324
70000	0:3.053512980578311	0.4636725720209741	2.127059122729313	2.2432137830136525	3.794780476879245:7.991827744821516E-308	3.794780476879245:1.6922549082311729	4.441221068949925	4.989022575445675:7.97632773889864E-310	4.989022575445675	5.006503616588892:0.024584899092431948	8.60261024029585:19.264795786110078	11.075082540056249	11.144288722075336	12.625994856471241	12.708602895630648	13.820720554214033	14.13695857009333	15.93817620945249	17.178946472711427	17.178946472711427:4.9E-324
75000	0:2.2579170596739866	0.988059951866606	1.4334570872287051	1.5475165702983658	3.7250463817397144:7.999201260138653E-308	3.7250463817397144:10.24783829302289	4.001023105913777	4.929615279588509:3.461281951323384E-309	4.929615279588509	5.0102282988515805:0.07813847104785358	8.092556218504534:18.57438554210622	10.248175496656186	11.200094311147229	12.668046050447789	12.965257572822495	13.431804412828164	14.366137769959403	15.366867630945507	16.36342083759687	16.36342083759687:4.9E-324
