#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
0	0:14.54313980210326	2.0566534430474235	2.219784171154359	3.629983034461233	3.8175253501915023	4.504227294172296	5.226566204516118	5.237496908241738:0.8217538925866611	5.312291496614918	12.68232774787856:59.9206120484978	14.43700868506211	14.68657333131145	15.505623637061177	16.858427043919107	23.035330562563033	33.421214988093055	41.34604369956027	55.95022125722765	59.286173239529205	91.33611713809105:9.8672215701E-313
5000	0:9.15521843228643	0.9888736356336754	3.1819617909459166	3.3479239226281776	4.108005671034263	4.128794844752016	4.884395341425967	5.136232931188261:2.693169290807036	5.147015088657157	9.051514241507537:70.4002077972825	12.012479067203758	14.290477906006142	15.241198605337026	18.642727521385027	20.997500630847007	31.757081163724123	35.12091319531073	40.0411493348665	40.614903836217934	65.44613096797501:3.8083423806E-314
10000	0:15.223636890349272	0.6239496423883493	1.3885124179421249	1.7319327108067526	3.334101203065062	4.305579591090996	4.3129383127666285	4.678446078251284:1.9084688832836474	5.083910764445268	11.107181963265672:74.96973566933272	11.740099534176132	15.412769737777507	16.6467255673783	18.619496625558348	22.398841187944463	26.99575515356218	28.827764465146902	39.4148373936047	41.33186498467821	64.89453713671007:9.5850121E-315
15000	0:9.854513186702102	1.1039136424281377	1.3124557089453388	3.475499479608544	3.8870905466472996	4.280894582034256	4.85441615766144	4.875864382322738:2.4714843297596074	5.31402681555013	6.4627335706837625:113.1933649655467	11.783726045003245	15.048714656626462	20.359644233272235	28.371292149584775	28.69089362988418	39.67773840173819	44.23544036427131	51.0596641653177	53.71499422886846	90.49691291924941:2.8523857E-317
20000	0:7.981745228064466	1.3657533588978583	1.5272721346339726	2.0638115978697007	2.422086440988014	4.596657885245169	4.773422646749356	4.87958916639722	5.018666301256668:0.35973046814736076	5.5025671856951615:37.621282578075956	11.742339280521453	13.82147610322985	14.116771349131241	16.986347832129663	17.32070338737954	25.025305165393902	27.404309622928423	33.02845785961284	33.211925852193644	54.55793151652632:4.046E-321
25000	0:10.707475158788121	2.5220005358044575	3.2821041944943254	4.367094046412853	4.915719281881902	5.025570256650772:9.121676513954753	5.086057233197622	5.086107355513945	5.08610962391615:6.741993396007982E-14	6.245285138808808:50.575872566534585	12.79532148301332	14.043487818130124	14.04789956867912	17.468159366432776	21.45791974098732	27.108139624249954	27.86792123347778	32.92671041060531	33.73345305270442	54.34177714915071:2.5E-323
30000	0:1.9586266611001244	0.3222233667043844	2.676162498947693	5.222221534743096	5.408537489777742:22.22000630809919	5.612629160906336	5.612650690737165	5.612709324771757	5.6127093254088445:2.5074329187615044E-13	6.802600165503208:44.15548227341414	12.036554414435404	12.733381398223798	14.3253079413129	15.287037456473307	16.058582452133603	23.053537993039853:32.48270825946883	27.121793353460948	31.035197605645806	34.40983468805662	46.498927516808024:2.5276E-320
35000	0:3.2445545859206724	0.27041902706530696	1.0566108935690204	2.0131698338284885	5.133944419413293:13.689336361666975	5.29250160716419	5.293063281632227	5.293334343279213	5.293394049568653:1.0964758244710439E-11	6.7029023148336035:42.84288632909253	12.652138367818386	14.172730642564755	15.125035561877226	17.633099693050003	21.071219004944663	27.97220340125505	28.455622238159417	37.46766942243867	37.71957737643511	62.88181926922751:3.005E-320
40000	0:0.8712828839776203	0.1712113096792726	1.294660044705777	1.3385605973150874	2.055026357383512	5.263159911880265:5.015881072319254	5.349356066854468	5.353033162204299	5.354998285328638:0.01720581359053844	6.723000880877971:59.01136600404725	14.061027347598927	14.065657757261283	14.098091875638856	18.36782222073689	20.91253225113503	24.44274715749166	24.983172728677733	34.76206143954706	35.77275627523641	58.13530230626344:1.4807E-320
45000	0:14.831413065289274	1.130108860351721	1.8896264043680333	2.3593217217291165	4.339548602858484	4.657842276494609	4.817420091432221	4.869160134371545	4.977519248087061:0.19770128553743857	6.754773021814251:43.38617086533698	11.842825723852794	14.71581916880328	16.238630514699338	17.79249742825422	18.411526006759512	23.96690994784212	24.500603386820064	32.121719623187566	36.057813261078245	41.39378649957721:4.9E-324
50000	0:25.272218693668876	1.4387443497655716	2.7221463972609463	2.753492467043052	5.224371482059753	5.293605246593595	5.353676865047584	6.335037529835569	6.361272766236583:11.65785400660269	11.083581380200158	11.601482980790925	15.451887726835956	16.148278643969356	19.206477667272516	24.37333453627525:72.78941215331092	36.865281886395735	39.33136518265914	42.17025572678878	47.13551252891308	63.51603788609971:7.739824431991193E-301
55000	0:164.14410814307647	2.2355042613708442	2.9073117233319885	3.14486717826439:3.5486114925238086	4.493541792972705	5.330224411456124	5.384493517374751	5.607506604240932	8.089910721632753	9.719659764077775	11.335199220332353	15.623535664428603	15.72836598992792	22.73262414879805	32.059610273756576:142.61170930798045	49.75818472477003	51.013945233836765	61.58644032301575	66.08746935609273	94.22234021810156:1.546199763772E-311
60000	0:91.4007045584161	2.1130000303868246	3.046361019436493	3.1466743118642455:1.0239600392293984	3.2270556444953735	4.490428541181184	5.192490068512292	5.771091924458718	6.146822651114581	8.281309151710131	14.151845973640963:61.44995889482498	14.5939499452256	16.494174473663755	22.423364179384667	25.722925468268365	29.96511582938334	32.33347092309773	41.320606550007824	47.360524935107314	81.90699175438625:1.6433E-320
65000	0:66.17923298324766	1.4644198215113462	1.5457472410066773	2.2976670469845097:0.16630061385391307	2.826326316376184	4.440998850308076	5.715769644135729	5.844996910030216	6.005424634276347	15.061397210222388	15.217780196078333:77.65597720739221	15.35984361892801	15.480157713160768	19.247528256096565	20.76327932083184	38.08671183270349	39.586772036642714	56.71861119962364	65.42593709438452	109.6872321208066:3.5E-323
70000	0:19.215784729345142	0.5326057817719514	2.996445776244684	3.001166549760482	3.0471547289639656	4.460449886835783	4.602348156862229	4.780709260206064:0.7570783968884759	5.514848504356713	6.1409979598251505	14.303780561963716:180.48656197118703	15.2098167699242	16.77707081309469	26.670378910610907	27.40202616467198	47.16838027452577	48.144125043151604	64.0322297378082	68.75688040502821	126.5739802747511:1.709408945574427E-309
75000	0:3.6756879597921897	0.12720941668899324	2.105112060115213	2.3313567027668687	2.7351624864942723	3.8276975669965756	4.047497345356598	4.215574266898906	4.886726308174955	5.0055165948098255:0.020568426444731426	11.813443488068788:85.70352508098601	14.685464405134534	15.710104591992545	19.02953525809673	19.322981680315408	24.57173027049938	28.342111316098382	41.322709748649764	43.64379711406017	71.73119770572033:3.69865957271E-312
80000	0:4.16476723723519	0.8510320867400827	1.2223999778038488	3.071397575757061	3.2577236139596617	3.5198507980596423	4.1648025439331375:6.475996253706955	4.864748901191845	5.069314262559727	6.749458531420737	12.512425758516475:53.022592863802494	14.28240572776756	17.900555608701424	19.390068288224093	24.55865615195948	27.575634317174313	28.51156822383352	34.51399172634882	37.497692646536805	54.9664867123512:1.2282891448606E-311
85000	0:6.121188840135103	1.0422227081473188	1.949002014528413	2.267701634493443	3.22787295373468	4.52836090018115	4.881690239865925:5.596422522039174	5.249848741714436	6.187318753431123	8.162528891107824	11.59533779158252:70.37585601905177	12.779340945465618	14.104869549910372	16.379725599718668	18.395673640288386	33.247041362705176	34.55267362603238	43.455023427530485	45.85444410817961	83.16694656242011:5.735948398082229E-304
90000	0:20.901757628384733	1.521963924725121	2.250533167800521	2.8776010166690815	3.649456826727718	4.610937538849143	5.25779945524311	5.640455572522027:1.5481197230144896	5.643400543033719	5.855511430854694	9.829551814724775:60.69337110441915	11.427680797967481	15.484603548345188	17.880121413183275	18.56884133081906	20.07713607190784	29.855504432912745	39.382242746463156	39.97062021101338	61.23201323345752:1.913984122211434E-281
95000	0:14.79036892665678	0.9572125892541953	2.025790285659828	2.6252701975626325	3.7957707537905816	4.310794359249439	4.790723324434471	4.8812675545925615:0.11349579013184533	5.109141878099682	5.90841121986395	11.92873865046663:96.92514649379197	15.337420183442116	21.22571682417933	26.536255682377423	26.931060577553538	30.15754954524172	41.48296082768813	47.91444648596927	50.03675701177336	73.39704027769024:1.2330747321099641E-266
100000	0:10.629328423877817	0.527801671707226	1.9644327074241892	3.8412672344046066	4.151343748257143	4.315141159436156	4.4518951297406755	4.73229624128205:0.5272066176910762	5.137130950821593	5.75435518270734	13.714281010256453:55.35062779952147	14.658773977823337	15.182529799794477	18.838576155539865	20.681203517727635	28.68466795644592	29.454787038592606	36.11342386047359	41.000983269152464	62.28943040657604:5.728913448329664E-280
105000	0:17.330560856941222	1.3126625094286324	1.421685586749269	2.3068028149399535	2.357180188908162:0.8515788932482028	4.257491897687356	4.407593043031999:19.77321233516515	5.077285859844287	5.092147421956784	8.193698034788756	13.95274635205249	14.958730611549536	15.759006293356853:42.42814250951469	18.284854060999187	22.377881004293155	31.675791592357687	34.03268714979713	35.941635233043215	39.65178923772261	70.36876438961079:6.20591513920945E-283
110000	0:0.916860588859193	1.0700800954159422	1.394058515507579	2.3984933707502516	3.1024462767562038	4.556803693146982	4.73275765826375:2.929861871231687	4.779666906940783	5.503337550405332	8.86093621636201	12.508247756228515	12.768260389000998	15.778055244263186:82.92906662769181	18.21316063551946	22.852409448464886	49.272422295554286:27.125685379520753	51.062551502965604	54.14683826681135	56.93387045165264	70.723607514351:7.001575565068912E-287
115000	0:0.46046973140463815	0.5416719098923141	1.1156483543255953	1.3791994300337551	2.8318093725336064	4.047185611541966	5.031484365115766	5.325919112369651	6.162370336508571	8.975261272082498	10.770847461447646	11.519266493662162	14.508873006462768:34.273374840882596	14.892279396624792	15.785569254757654	23.838731138418954	25.108158292463823	26.09362569880562	26.291486607600362	40.42091761392221:3.9064358368169393E-293
120000	0:25.38638201336467	1.411690167269494	1.5027743542549123	1.9512426417692046	3.9194088837193157:0.1211343787164017	4.076488304367489	4.23804861537473	4.393170035629513	5.312481035538028	6.855137789087472	14.008852434273994	14.162849483638656	16.092222884889495:80.88154949837582	16.38647577887193	20.164191428442678	33.10981649500494	33.29879047467113	35.63963420899633	42.00626754641762	71.74827869882924:2.4895395699730957E-287
125000	0:0.5037028770814295	0.3761122491007766	1.0863493277804577	1.1767290002473747	4.125104273396902	5.221665199888816	5.451032304858295	5.651670277255694	5.759945793252217	5.9666405687088595	11.418684015573959	12.947411133582055	14.440261344486787:41.505749409962874	17.136114028191514	17.497771560081972	21.128385188123204	25.063320021160543	27.511611538183438	28.277151582713152	47.106748461135574:7.514692663435661E-285
130000	0:1.1233895747136973	1.307567667823286	2.3204072244722735	2.4539571807490166	3.3330070915205035	4.1787708247239275	4.7375348819637715	5.1034945451425715	6.741809525680791	6.817260142246429	12.456793037786978	14.201053585039599	14.458553540488724:40.325265772156364	14.60317447990547	15.467701555115426	25.97210399409535	27.618656974960203	31.486543219211704	35.791924690850536	48.712743898922696:9.406222117188025E-273
135000	0:86.82894086883296	2.199197189540202	3.785720044759284	4.047880361475184	4.443693313450896:6.034782496174492	4.673015043091572	4.760689404600478	4.995325188106053	5.2322897730988585	5.342562876775121:0.3979783374371352	14.559550329916583	16.11801215949651	16.192208353843736:77.30780741728321	20.675431656627424	23.275719964845887	28.0576721189986:14.707431266373947	28.69711892178484	30.257845824816393	44.37674116838387	55.702695255313486:3.745723088952501E-273
