#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_S_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                        <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM3_rates_prior.s:HRTV_S_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM3rates.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_S_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0016226</parameter>
#            <LogNormal id="LogNormalDistributionModel.4" name="distr">
#                <parameter estimate="false" id="RealParameter.18" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.19" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_S_BEAST" name="distribution" x="@popSize.t:HRTV_S_BEAST">
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_S_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.769</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_S_BEAST" id="treeLikelihood.HRTV_S_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_S_BEAST">
#            <siteModel id="SiteModel.s:HRTV_S_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_S_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_S_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_S_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM3.s:HRTV_S_BEAST" rates="@TPM3rates.s:HRTV_S_BEAST" spec="substmodels.nucleotide.TPM3"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_S_BEAST" id="StrictClock.c:HRTV_S_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	proportionInvariant	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	popSize	CoalescentConstant	clockRate
0	-3527.06901624799	-3432.825432515297	-94.24358373269314	-3432.825432515297	36.20876883088521	156.47773207682414	0.7389354896312812	0.0693087305325803	2.4484528183677456	0.4822384510996794	0.0693087305325803	2.4484528183677456	0.4822384510996794	12.503334503328919	-73.86045090237033	6.635320586485557E-4
1000	-3537.3364447334966	-3440.9434148710075	-96.39302986248927	-3440.9434148710075	41.83741583620743	169.46719139110513	0.7389354896312812	0.0693087305325803	2.4484528183677456	0.4822384510996794	0.0693087305325803	2.4484528183677456	0.4822384510996794	17.599972733732343	-74.54075644069877	7.886433734741942E-4
2000	-3546.094746207223	-3448.577886560044	-97.51685964717898	-3448.577886560044	49.54598806912158	186.965918038613	0.7389354896312812	0.0693087305325803	2.4484528183677456	0.4822384510996794	0.0693087305325803	2.4484528183677456	0.4822384510996794	12.18509422740703	-76.98355863461353	6.216136025163917E-4
3000	-3529.334631909176	-3434.423165640564	-94.91146626861186	-3434.423165640564	35.556243258928475	152.95280715220946	0.7389354896312812	0.2654438390604993	2.395794765243502	0.33876139569600444	0.2654438390604993	2.395794765243502	0.33876139569600444	15.075059811975297	-73.0628780484063	6.099036298517252E-4
4000	-3544.3116397409817	-3444.1903764266963	-100.12126331428537	-3444.1903764266963	35.56450706470597	171.00916561533398	0.7389354896312812	0.2654438390604993	2.395794765243502	0.33876139569600444	0.2654438390604993	2.395794765243502	0.33876139569600444	17.0734734058517	-76.72857632664106	5.24296439467968E-4
5000	-3537.755099942706	-3438.7262584622035	-99.02884148050204	-3438.7262584622035	36.17862898124234	164.92704432367168	0.7389354896312812	0.3653270484513264	2.3260774687313033	0.30859548281737587	0.3653270484513264	2.3260774687313033	0.30859548281737587	18.178846420798966	-75.57155038583831	5.769638341449445E-4
6000	-3541.818885879782	-3442.0877968339346	-99.73108904584774	-3442.0877968339346	44.55363787001846	182.71348126401617	0.7389354896312812	0.3653270484513264	2.3260774687313033	0.30859548281737587	0.3653270484513264	2.3260774687313033	0.30859548281737587	12.832854915838292	-79.13822437872349	6.527398069063297E-4
7000	-3542.7862875879227	-3446.408158939898	-96.37812864802474	-3446.408158939898	31.986806764375046	150.7595300035985	0.7389354896312812	0.2724769940890882	2.3177407923068443	0.4097822136040732	0.2724769940890882	2.3177407923068443	0.4097822136040732	17.265689787365474	-74.65920903095147	7.859135942717261E-4
8000	-3528.5218480575536	-3435.1683203958096	-93.35352766174411	-3435.1683203958096	34.815556563055075	145.03513454622262	0.7389354896312812	0.15744887067966726	2.4327689157162653	0.4097822136040732	0.15744887067966726	2.4327689157162653	0.4097822136040732	16.08811223346752	-71.307526354539	6.450241284121403E-4
9000	-3528.416715200697	-3440.573159475829	-87.84355572486824	-3440.573159475829	29.206127062836533	127.30181039078461	0.7389354896312812	0.15843577883323218	2.531991927180542	0.30957229398623165	0.15843577883323218	2.531991927180542	0.30957229398623165	10.647401707717918	-69.38359690486152	8.716945445983823E-4
10000	-3529.3433580094825	-3438.8810530529086	-90.46230495657413	-3438.8810530529086	31.164950104218804	132.3671944577929	0.7389354896312812	0.11108077856067747	2.531991927180542	0.3569272942587864	0.11108077856067747	2.531991927180542	0.3569272942587864	14.538592531853688	-69.64372272929248	7.33698746897189E-4
11000	-3538.769574455333	-3442.2371796968087	-96.5323947585244	-3442.2371796968087	33.41946745966734	148.9629815356662	0.7389354896312812	0.051649986204933655	2.531991927180542	0.4163580866145302	0.051649986204933655	2.531991927180542	0.4163580866145302	9.092568792950173	-78.13729942917186	7.636362367756051E-4
12000	-3527.0724345247013	-3437.8728734395186	-89.1995610851827	-3437.8728734395186	31.8139804748657	134.0085021824221	0.7389354896312812	0.051649986204933655	2.531991927180542	0.4163580866145302	0.051649986204933655	2.531991927180542	0.4163580866145302	11.093504669836408	-70.35768987755874	8.308369680203172E-4
13000	-3531.5089627915877	-3434.260647080152	-97.24831571143552	-3434.260647080152	30.75131056648181	153.72540217530926	0.7389354896312812	0.1504452753527264	2.4413313137344446	0.4082234109128349	0.1504452753527264	2.4413313137344446	0.4082234109128349	18.21297352852073	-74.57706246354644	6.935321527960668E-4
14000	-3538.6037613814538	-3437.233042673381	-101.37071870807264	-3437.233042673381	34.405990865341444	174.2143728264561	0.7389354896312812	0.1504452753527264	2.4413313137344446	0.4082234109128349	0.1504452753527264	2.4413313137344446	0.4082234109128349	17.49251079824898	-77.98157372312778	5.469655846312598E-4
15000	-3533.899222135621	-3441.0275450510912	-92.87167708453006	-3441.0275450510912	35.136894416087365	148.50684081449182	0.5322084786966378	0.09810414883597962	2.4413313137344446	0.4605645374295817	0.09810414883597962	2.4413313137344446	0.4605645374295817	13.87071729220793	-72.24664569426754	7.178169449987729E-4
16000	-3545.459204573923	-3443.190650816139	-102.26855375778413	-3443.190650816139	40.109571782545075	189.11129844790608	0.5322084786966378	0.09810414883597962	2.4413313137344446	0.4605645374295817	0.09810414883597962	2.4413313137344446	0.4605645374295817	13.781403945343024	-80.97114434205123	6.090783852197926E-4
