#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_L_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_L_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="">
#                        <taxa id="TaxonSet.HRTV_L_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_L_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TIM3uf_frequencies_prior.s:HRTV_L_BEAST" name="distribution">
#            <parameter dimension="4" id="TIM3uffreqParameter.s:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.35" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.59" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="Standard_TIM3uf_rates_prior.s:HRTV_L_BEAST" name="distribution">
#            <parameter dimension="4" id="TIM3ufrates.s:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.34" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.58" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_L_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0012566</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_L_BEAST" name="distribution" x="@popSize.t:HRTV_L_BEAST">
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_L_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_L_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.801</parameter>
#            <Uniform id="Uniform.21" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_L_BEAST" id="treeLikelihood.HRTV_L_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_L_BEAST">
#            <siteModel id="SiteModel.s:HRTV_L_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_L_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_L_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_L_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TIM3uf.s:HRTV_L_BEAST" rates="@TIM3ufrates.s:HRTV_L_BEAST" spec="substmodels.nucleotide.TIM3uf">
#                    <frequencies frequencies="@TIM3uffreqParameter.s:HRTV_L_BEAST" id="TIM3ufFreqs.s:HRTV_L_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_L_BEAST" id="StrictClock.c:HRTV_L_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	proportionInvariant	popSize	CoalescentConstant	clockRate
0	-11951.10976947536	-11979.179382473209	28.06961299784755	-11979.179382473209	0.05369535136958623	0.35187631224370547	0.3328720198168837	0.20127700170258384	0.2549116382097678	0.2109393402707688	0.4734740506362383	1.9201658895822407	0.35559474061310264	0.4734740506362383	2.421696527919089	0.35559474061310264	0.6027896489891684	0.09543354314964562	29.80343819919644	0.2730376785127758
1000	-11842.433407556282	-11868.572180073812	26.138772517529528	-11868.572180073812	0.06151772200931479	0.38771106643676	0.3328720198168837	0.20127700170258384	0.2549116382097678	0.2109393402707688	0.42910697234373935	2.023401800520159	0.34834386343664253	0.42910697234373935	2.421696527919089	0.34834386343664253	0.6027896489891684	0.10074993163345498	28.0606008084738	0.18301480978713994
2000	-11954.47605467418	-11961.640549060425	7.164494386244052	-11961.640549060425	0.22535418469974258	1.2343372045684182	0.3328720198168837	0.21233537363712157	0.24385326627523007	0.2109393402707688	0.42910697234373935	1.940866853033405	0.34834386343664253	0.42910697234373935	2.504231475405843	0.34834386343664253	0.6027896489891684	0.2801940368207081	8.678840067698353	0.1028045784487749
3000	-12190.538575042403	-12195.085476677808	4.546901635405973	-12195.085476677808	0.3197153696259691	1.6031265694247843	0.3328720198168837	0.21233537363712157	0.24385326627523007	0.2109393402707688	0.42910697234373935	1.940866853033405	0.34834386343664253	0.42910697234373935	2.504231475405843	0.34834386343664253	0.6027896489891684	0.23233623158268882	6.494216791134119	0.08164198099031561
4000	-12440.782299145172	-12438.607907029756	-2.1743921154151455	-12438.607907029756	0.3467927840359786	1.6857497034586078	0.33142251005358864	0.223932209088241	0.24385326627523007	0.20079201458294446	0.36232729416361803	2.0166327666063717	0.34834386343664253	0.36232729416361803	2.562024918193119	0.34834386343664253	0.8769093538563233	0.37138294150415485	3.8675233398487823	0.008364478760135508
5000	-11962.16212537552	-11954.651930454123	-7.51019492139646	-11954.651930454123	0.4656543673642374	2.43582453375599	0.33142251005358864	0.223932209088241	0.24385326627523007	0.20079201458294446	0.36232729416361803	2.0166327666063717	0.34834386343664253	0.36232729416361803	2.562024918193119	0.34834386343664253	0.8769093538563233	0.5809323823210529	-3.3150042660141503	0.015230126648131267
6000	-11990.488386212883	-12000.31405562814	9.825669415256908	-12000.31405562814	0.20226295965966556	1.1345564803439938	0.33142251005358864	0.2340946941349662	0.24385326627523007	0.19062952953621926	0.2950172850626072	1.9221897432473674	0.34834386343664253	0.2950172850626072	2.7910879597541447	0.34834386343664253	0.38293180241951763	0.23101105700485033	11.775270321968609	0.0818242688718525
7000	-11862.648425396697	-11874.583437370182	11.93501197348432	-11874.583437370182	0.1476310874556226	0.8717196111640579	0.33142251005358864	0.2340946941349662	0.24385326627523007	0.19062952953621926	0.2950172850626072	2.0463416781416703	0.2862678959894911	0.2950172850626072	2.7910879597541447	0.2862678959894911	0.38293180241951763	0.2434548659958097	13.529828964166873	0.10683874029547187
8000	-11933.724664134115	-11957.775884185141	24.05122005102569	-11957.775884185141	0.09371834247736266	0.5106914887215442	0.33142251005358864	0.2340946941349662	0.23782110847915358	0.19666168733229575	0.39368933795934635	1.5775940976835432	0.35919459062551407	0.39368933795934635	2.9166380451467475	0.35919459062551407	0.38293180241951763	0.08442970633699577	27.0051837367119	0.07733478116949741
9000	-11958.268836233372	-11973.541897938125	15.273061704753427	-11973.541897938125	0.19692868360972163	0.9136993763725114	0.33142251005358864	0.2301673201856882	0.22780011651736942	0.2106100532433579	0.39368933795934635	1.5775940976835432	0.35919459062551407	0.39368933795934635	2.9166380451467475	0.35919459062551407	0.38293180241951763	0.18683618799323562	17.04062087596886	0.11350249365047572
10000	-11904.577567432243	-11920.798305459735	16.22073802749179	-11920.798305459735	0.12885952408788692	0.7327267605277672	0.31895700502894975	0.2301673201856882	0.2402656215420083	0.2106100532433579	0.39368933795934635	1.6979476511275273	0.35919459062551407	0.39368933795934635	2.7962844917027634	0.35919459062551407	0.38293180241951763	0.1597975228738848	18.333823362372556	0.09427190306282415
11000	-11834.625455896869	-11849.225154375754	14.599698478885832	-11849.225154375754	0.14615124541137434	0.8081786388623344	0.31166284160196217	0.22600396719223903	0.2285286465938194	0.23380454461198352	0.39368933795934635	1.9002192171649612	0.1471934212449434	0.39368933795934635	3.018015264426471	0.1471934212449434	0.38293180241951763	0.20734955917192177	16.773462703569585	0.07400757074454059
12000	-11856.781431099258	-11879.573545594601	22.792114495342567	-11879.573545594601	0.13174178402873962	0.6172921049953544	0.30649718032195405	0.23116962847224715	0.2285286465938194	0.23380454461198352	0.39368933795934635	1.9002192171649612	0.1471934212449434	0.39368933795934635	3.018015264426471	0.1471934212449434	0.38293180241951763	0.12129169926800541	24.873829744444578	0.12352751070967091
13000	-11913.180322483915	-11931.881474003709	18.70115151979358	-11931.881474003709	0.12298523401201474	0.6514798989833805	0.30649718032195405	0.23116962847224715	0.2285286465938194	0.23380454461198352	0.39368933795934635	1.9002192171649612	0.1471934212449434	0.39368933795934635	3.018015264426471	0.1471934212449434	0.38293180241951763	0.10285692027823494	21.23092913474929	0.09389693528649881
