#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_S_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                        <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM3_rates_prior.s:HRTV_S_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM3rates.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_S_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0016226</parameter>
#            <LogNormal id="LogNormalDistributionModel.4" name="distr">
#                <parameter estimate="false" id="RealParameter.18" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.19" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_S_BEAST" name="distribution" x="@popSize.t:HRTV_S_BEAST">
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="PropInvariantPrior.s:HRTV_S_BEAST" name="distribution">
#            <parameter id="proportionInvariant.s:HRTV_S_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.769</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_S_BEAST" id="treeLikelihood.HRTV_S_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_S_BEAST">
#            <siteModel id="SiteModel.s:HRTV_S_BEAST" proportionInvariant="@proportionInvariant.s:HRTV_S_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_S_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HRTV_S_BEAST" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <substModel id="Standard_TPM3.s:HRTV_S_BEAST" rates="@TPM3rates.s:HRTV_S_BEAST" spec="substmodels.nucleotide.TPM3"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_S_BEAST" id="StrictClock.c:HRTV_S_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	proportionInvariant	RateAC-Standard_TPM3	RateAG-Standard_TPM3	RateAT-Standard_TPM3	RateCG-Standard_TPM3	RateCT-Standard_TPM3	RateGT-Standard_TPM3	popSize	CoalescentConstant	clockRate
0	-3579.3584592851944	-3486.792114422088	-92.56634486310615	-3486.792114422088	27.59703913090125	140.43300693268003	0.7121679664750451	0.05320491275841452	2.103222069500865	0.8435730177407209	0.05320491275841452	2.103222069500865	0.8435730177407209	11.047259444182082	-74.2628518388332	9.419180198279516E-4
1000	-3585.87617895047	-3495.726290249431	-90.14988870103937	-3495.726290249431	25.928896565135734	128.63046582589732	0.7121679664750451	0.05320491275841452	2.103222069500865	0.8435730177407209	0.05320491275841452	2.103222069500865	0.8435730177407209	11.042192622914337	-71.26490053396736	8.181995470709209E-4
2000	-3598.7741900008873	-3513.5881229020256	-85.18606709886174	-3513.5881229020256	34.13210253470987	130.25107006096465	0.7121679664750451	0.05320491275841452	2.1947779551564666	0.7520171320851193	0.05320491275841452	2.1947779551564666	0.7520171320851193	12.269374073187107	-66.84381028861617	0.0010567618611410548
3000	-3577.4959043541357	-3495.41390037311	-82.08200398102572	-3495.41390037311	24.72284473859267	107.30345683044078	0.7121679664750451	0.09944260485209253	2.2699815374061245	0.6305758577417835	0.09944260485209253	2.2699815374061245	0.6305758577417835	7.541596801177677	-65.91596409718501	0.0011387457219064574
4000	-3578.7833481666	-3498.897032037729	-79.8863161288709	-3498.897032037729	22.303944575354762	99.02602167733421	0.7121679664750451	0.09944260485209253	2.2699815374061245	0.6305758577417835	0.09944260485209253	2.2699815374061245	0.6305758577417835	10.07328983059433	-63.02446366120787	0.001222464258376229
5000	-3571.2340561858173	-3483.0874834516258	-88.14657273419175	-3483.0874834516258	24.02576257045088	115.79644380816129	0.7121679664750451	0.20308415499083898	2.166339987267378	0.6305758577417835	0.20308415499083898	2.166339987267378	0.6305758577417835	10.07328983059433	-69.49797280913174	7.883330816920289E-4
6000	-3586.0866808626115	-3500.716903853722	-85.36977700888913	-3500.716903853722	24.67414274970681	113.10927912307051	0.7121679664750451	0.25861124600465396	2.1108128962535626	0.6305758577417835	0.25861124600465396	2.1108128962535626	0.6305758577417835	11.194695552876443	-67.78279162657624	0.0011417842880506366
7000	-3575.3626495879753	-3493.870128113945	-81.49252147403013	-3493.870128113945	18.05806918929136	87.664479512863	0.7121679664750451	0.25861124600465396	2.1108128962535626	0.6305758577417835	0.25861124600465396	2.1108128962535626	0.6305758577417835	13.00261868992468	-63.10562334422657	0.0011287589092342683
8000	-3588.1392859441976	-3506.221709001576	-81.91757694262152	-3506.221709001576	24.748494167274345	105.34140645192662	0.7121679664750451	0.25861124600465396	2.1108128962535626	0.6305758577417835	0.25861124600465396	2.1108128962535626	0.6305758577417835	9.761656566256558	-65.67812218989917	0.0013893597186351485
9000	-3563.6089542184295	-3480.9034586296902	-82.70549558873942	-3480.9034586296902	22.703747869502383	106.41032092649849	0.7121679664750451	0.2595981541582189	2.317680815901142	0.4227210299406391	0.2595981541582189	2.317680815901142	0.4227210299406391	8.608867192396362	-66.85171654673823	0.0013661176293344513
10000	-3557.889484214042	-3473.242485759112	-84.6469984549302	-3473.242485759112	21.838588605307006	105.7567275539086	0.7121679664750451	0.08382274481482867	2.317680815901142	0.5984964392840293	0.08382274481482867	2.317680815901142	0.5984964392840293	12.246038676566556	-66.02465192290794	9.837482653679798E-4
11000	-3555.6990553194196	-3470.3185821857674	-85.38047313365209	-3470.3185821857674	26.383909059008268	116.90307132837904	0.7121679664750451	0.08382274481482867	2.317680815901142	0.5984964392840293	0.08382274481482867	2.317680815901142	0.5984964392840293	8.384002066359946	-67.80860882151468	8.707255736407236E-4
12000	-3587.3299165537815	-3505.161899983767	-82.16801657001446	-3505.161899983767	24.760786656212172	111.3158960891117	0.7121679664750451	0.2525755310457748	2.2328122904005863	0.5146121785536387	0.2525755310457748	2.2328122904005863	0.5146121785536387	8.378062259502357	-66.83174583657606	0.0015283549778237846
13000	-3638.6886265402086	-3548.839645763515	-89.84898077669354	-3548.839645763515	27.7966550159596	118.16902355872392	0.7121679664750451	0.3467680464962759	2.0485357383070033	0.6046962151967208	0.3467680464962759	2.0485357383070033	0.6046962151967208	5.967280386798883	-75.30004746941196	0.0014969846586338617
14000	-3619.23397021933	-3532.5425520658537	-86.69141815347612	-3532.5425520658537	23.93461750195428	119.26836317337825	0.7121679664750451	0.3467680464962759	2.0485357383070033	0.6046962151967208	0.3467680464962759	2.0485357383070033	0.6046962151967208	10.904000094912256	-70.17763353808294	0.0014584722813200646
15000	-3590.14124154472	-3493.4398144175484	-96.70142712717161	-3493.4398144175484	33.183358301340036	161.49389280211884	0.7121679664750451	0.3815140769312216	2.0485357383070033	0.5699501847617752	0.3815140769312216	2.0485357383070033	0.5699501847617752	10.335331192308402	-77.4216742154806	6.966476294205224E-4
16000	-3565.034312409307	-3474.8692581392193	-90.16505427008782	-3474.8692581392193	27.88716396712273	131.48357302432177	0.7121679664750451	0.24088521222110434	2.1891646030171206	0.5699501847617752	0.24088521222110434	2.1891646030171206	0.5699501847617752	13.85427995347324	-70.5851105209623	9.194055123648075E-4
