#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HRTV_M_BEAST" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HRTV_M_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="">
#                        <taxa id="TaxonSet.HRTV_M_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HRTV_M_BEAST"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="Standard_TPM2uf_frequencies_prior.s:HRTV_M_BEAST" name="distribution">
#            <parameter dimension="4" id="TPM2uffreqParameter.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.3" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.3" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="Standard_TPM2uf_rates_prior.s:HRTV_M_BEAST" name="distribution">
#            <parameter dimension="3" id="TPM2ufrates.s:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0 1.0 1.0</parameter>
#            <distr id="Dirichlet.2" spec="beast.base.inference.distribution.Dirichlet">
#                <alpha id="Function$Constant.2" spec="beast.base.core.Function$Constant" value="1.0 1.0 1.0"/>
#            </distr>
#        </prior>
#        <prior id="ClockPrior.c:HRTV_M_BEAST" name="distribution">
#            <parameter id="clockRate.c:HRTV_M_BEAST" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.0028166</parameter>
#            <LogNormal id="LogNormalDistributionModel.4" name="distr">
#                <parameter estimate="false" id="RealParameter.17" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.18" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:HRTV_M_BEAST" name="distribution">
#            <parameter id="gammaShape.s:HRTV_M_BEAST" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">0.269</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:HRTV_M_BEAST" name="distribution" x="@popSize.t:HRTV_M_BEAST">
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HRTV_M_BEAST" id="treeLikelihood.HRTV_M_BEAST" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HRTV_M_BEAST">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HRTV_M_BEAST" shape="@gammaShape.s:HRTV_M_BEAST" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HRTV_M_BEAST" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HRTV_M_BEAST" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Standard_TPM2uf.s:HRTV_M_BEAST" rates="@TPM2ufrates.s:HRTV_M_BEAST" spec="substmodels.nucleotide.TPM2uf">
#                    <frequencies frequencies="@TPM2uffreqParameter.s:HRTV_M_BEAST" id="TPM2ufFreqs.s:HRTV_M_BEAST" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:HRTV_M_BEAST" id="StrictClock.c:HRTV_M_BEAST" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	TPM2uffreqParameter.1	TPM2uffreqParameter.2	TPM2uffreqParameter.3	TPM2uffreqParameter.4	RateAC-Standard_TPM2uf	RateAG-Standard_TPM2uf	RateAT-Standard_TPM2uf	RateCG-Standard_TPM2uf	RateCT-Standard_TPM2uf	RateGT-Standard_TPM2uf	popSize	CoalescentConstant	clockRate
0	-6464.0737475198075	-6480.473529526407	16.39978200659944	-6480.473529526407	0.21645473191332662	0.887292417050541	0.1	0.27175185390465656	0.25042982572015776	0.22670006844517443	0.2511182519300122	0.3224733506502123	2.5046378020010267	0.3224733506502123	0.1728888473487386	2.5046378020010267	0.1728888473487386	0.15382960633532056	19.00301316664907	0.21913787292538475
1000	-6435.23508631828	-6460.292182429052	25.057096110772004	-6460.292182429052	0.13052207744010744	0.5289228336473836	0.1	0.27175185390465656	0.25042982572015776	0.22670006844517443	0.2511182519300122	0.3224733506502123	2.5046378020010267	0.3224733506502123	0.1728888473487386	2.5046378020010267	0.1728888473487386	0.11601758446572429	27.870632748044603	0.23996752857154732
2000	-6423.90471021415	-6451.077214506489	27.17250429233856	-6451.077214506489	0.12561296094207364	0.49629864468250423	0.1	0.27175185390465656	0.2419121551301972	0.22670006844517443	0.25963592251997275	0.3224733506502123	2.5046378020010267	0.3224733506502123	0.1728888473487386	2.5046378020010267	0.1728888473487386	0.10048263070317608	30.17366864720245	0.2195881524494649
3000	-6452.554940909629	-6476.085350536554	23.53040962692465	-6476.085350536554	0.18226375036770176	0.6290011734064586	0.1	0.27175185390465656	0.2419121551301972	0.22670006844517443	0.25963592251997275	0.3224733506502123	2.5046378020010267	0.3224733506502123	0.1728888473487386	2.5046378020010267	0.1728888473487386	0.12671409729722455	26.622456899606526	0.14477909445080692
4000	-6500.852533920251	-6520.2317271057445	19.379193185494078	-6520.2317271057445	0.1859716744575313	0.689742467732981	0.19409011745774926	0.27175185390465656	0.25205948081802154	0.22670006844517443	0.2494885968321484	0.4207845974422414	2.5046378020010267	0.4207845974422414	0.07457760055670952	2.5046378020010267	0.07457760055670952	0.1466108701285769	22.023776823082947	0.2610313844521196
5000	-6489.662208652474	-6505.80814315528	16.145934502806085	-6505.80814315528	0.15464596705299138	0.7167080130188422	0.19409011745774926	0.27175185390465656	0.25205948081802154	0.2331974949392955	0.24299117033802733	0.4207845974422414	2.5046378020010267	0.4207845974422414	0.07457760055670952	2.5046378020010267	0.07457760055670952	0.16784205252981058	19.414374595491527	0.10232709545988926
6000	-6510.292378450211	-6516.209697944572	5.917319494361183	-6516.209697944572	0.26644580882264446	1.239589879663805	0.19409011745774926	0.27175185390465656	0.2596495319647962	0.2331974949392955	0.23540111919125273	0.30897370103211363	2.6164486984111543	0.30897370103211363	0.07457760055670952	2.6164486984111543	0.07457760055670952	0.35013447401170544	8.450321078124398	0.11142590757031416
7000	-6519.867181322735	-6502.872859546416	-16.99432177631887	-6502.872859546416	2.2362215406672714	6.239902579696549	0.3849455913477047	0.26404118732425447	0.25448966799192496	0.2331974949392955	0.24827164974452606	0.1503020767278027	2.4055606573654975	0.1503020767278027	0.44413726590667746	2.4055606573654975	0.44413726590667746	0.8792641668322124	-11.771649758704058	0.01655252683844832
8000	-6549.274550544032	-6565.05213886289	15.777588318858788	-6565.05213886289	0.3492585616034565	1.0918802601139417	0.36041161494462126	0.26404118732425447	0.25448966799192496	0.2331974949392955	0.24827164974452606	0.1503020767278027	2.4055606573654975	0.1503020767278027	0.44413726590667746	2.4055606573654975	0.44413726590667746	0.1728163387305555	19.756776966542784	0.06469371038956563
9000	-6481.40861243369	-6494.151013242908	12.742400809218328	-6494.151013242908	0.24195399844494267	0.9466491273920409	0.5874303945161916	0.26404118732425447	0.25448966799192496	0.2331974949392955	0.24827164974452606	0.09159258692732052	2.6037538062766012	0.09159258692732052	0.3046536067960558	2.6037538062766012	0.3046536067960558	0.22858752238195632	15.847364806637145	0.13475867749126996
10000	-6460.662687557147	-6478.649350326005	17.98666276885772	-6478.649350326005	0.17332005052621785	0.6856772095414343	1.0146606322599767	0.26404118732425447	0.26387293011729634	0.2331974949392955	0.23888838761915468	0.09159258692732052	2.6037538062766012	0.09159258692732052	0.3046536067960558	2.6037538062766012	0.3046536067960558	0.15204467129863142	21.849433858965167	0.14064994721015264
11000	-6489.929053889515	-6511.570028979481	21.64097508996662	-6511.570028979481	0.12127918513880995	0.5457184454759567	0.5624713924546321	0.26404118732425447	0.26387293011729634	0.2331974949392955	0.23888838761915468	0.09159258692732052	2.521391260118969	0.09159258692732052	0.3870161529536882	2.521391260118969	0.3870161529536882	0.1333400457510483	25.151605438126037	0.14415924469934102
12000	-6534.540877798077	-6565.333077619318	30.79219982124054	-6565.333077619318	0.07217280945324672	0.35022331021556324	0.3868082866267334	0.2526026726119873	0.26387293011729634	0.24463600965156262	0.23888838761915468	0.09159258692732052	2.4365227346184133	0.09159258692732052	0.47188467845424376	2.4365227346184133	0.47188467845424376	0.08223592322002884	33.98445074322264	0.5099271339640642
13000	-6517.599194778911	-6550.2446343617385	32.645439582827336	-6550.2446343617385	0.055267815765570036	0.2770729673248903	0.18098307220040208	0.2680588972745087	0.25678980645951327	0.2456106680249812	0.22954062824099777	0.09159258692732052	2.3893304544654304	0.09159258692732052	0.5190769586072267	2.3893304544654304	0.5190769586072267	0.07486193178137114	35.79494898033045	0.3491377163208346
