#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
0	0:0.6378217706965068	0.11218033793498705	0.15464045783403435	1.2774525081721109	3.1870970425903202:1.929E-320	3.1870970425903202:2.163471729175888E-12	4.054457106460074:0.37706280376082635	4.345177201203292:7.86294609E-315	4.345177201203292:1.8257848800511455E-7	5.0106072470455985:0.3677754949108317	5.422860299797808:5.958373063171009E-18	6.031752096255399:0.2835194142862445	6.126598164358462	6.286023958455928:7.359689657889064E-113	8.04172364893123:0.0990997160424122	10.000428877793759	11.01507329215518	11.036300231466846	17.371493904890183	17.371493904890183:4.9E-324
5000	0:0.9107655569016254	0.4845833863338116	0.5046282723669848	1.2606626540661166	3.1870970425903202:5.9318E-320	3.1870970425903202:5.737569379470793E-12	4.042115830558212:0.7513567691102963	4.345177201203292:2.5335200904E-314	4.345177201203292:6.176974563435947E-7	5.007030674796338:0.21504896736844356	5.05342426103368:5.442485961287817E-18	6.010912254783526:0.21097536712436485	6.151577331027705	6.250836769667769:2.1827964223972162E-110	8.02856264376197:0.11002137576069818	10.000175001733945	11.008951429636106	11.030175950493996	17.371493904890183	17.371493904890183:4.9E-324
10000	0:0.5381699211049469	0.06235252389311339	0.5722590328831906	1.131698737324036	3.1870970425903202:4.0686E-320	3.1870970425903202:1.867718206244051E-12	4.042426034548867:0.5254452924640224	4.345177201203292:1.849574723E-314	4.345177201203292:5.283196436319775E-7	5.013888346785018:0.45384860886808387	5.164502888641665:5.175555450329038E-19	6.0137118009025246	6.156433791534969:0.11046304249577944	6.181536171959403:1.0476873184024005E-109	8.024548909099371:0.1097298565153131	10.087913282091137	11.014924565897129	11.037343668950683	17.371493904890183	17.371493904890183:4.9E-324
15000	0:0.4748407814460707	0.17515415789262564	0.5604957358006867	1.2403834403486194	3.1870970425903202:8.72144E-319	3.1870970425903202:3.423973640093546E-11	4.114167639176136:0.6524435552068649	4.3386074144648115:7.25620095E-315	4.3386074144648115:1.0231244152531793E-7	5.1021090631901425:0.24776747031753035	5.138852226314426:8.702265998670977E-20	6.016835941066331	6.133252104123973:0.15722334031467847	6.200141094172675:7.333107372032469E-110	8.006557735532477:0.1527131843623968	10.021066658607893	11.009382038118076	11.038943944573239	17.356409425035416	17.356409425035416:4.9E-324
20000	0:0.45081521152953963	0.1372706028678904	0.1774178437728723	1.0959416432791427	3.1870970425903202:1.4418E-319	3.1870970425903202:1.0042303087900016E-11	4.011344565928161:0.17462475243525483	4.3386074144648115:1.2855463142E-313	4.3386074144648115:4.691360958835012E-6	5.001637499692086:0.02615559613563198	5.0610096578090324:2.2772724104198145E-20	6.062792329268996	6.070892431655099:0.22469159162193922	6.249256811933836:1.9350301503248302E-107	8.047717107585514:0.14000687502980275	10.019503680302087	11.063701638863101	11.095550592966486	17.356409425035416	17.356409425035416:4.9E-324
25000	0:0.6186957416027887	0.21704793547295895	0.3169779997597868	1.109859691403278	3.1870970425903202:9.4885E-320	3.1870970425903202:8.56368977428093E-12	4.015601135040496:0.667836415381867	4.3386074144648115:4.350798443E-314	4.3386074144648115:6.675023686332298E-6	5.136306484931999:0.3019929813090025	5.268872935707927:1.2451750961800114E-18	6.012832778028894	6.027549093157182:0.754659370194653	6.604984859746988:1.2767873158641526E-110	8.082315670071154:0.09166952192658216	10.081105470111556	11.010062868651833	11.15742214026885	17.356409425035416	17.356409425035416:4.9E-324
30000	0:0.3455494074105818	0.02381401890564611	0.776045099080538	1.0735341092182893	3.1870970425903202:4.0271E-319	3.1870970425903202:7.7794606342833E-13	4.050924397890845:0.4357397249980386	4.3386074144648115:2.73312202E-315	4.3386074144648115:3.7681010076058613E-7	5.00812168015362:0.3740332459610159	5.0700583765002065:5.806128964401752E-18	6.017114094173314	6.038353126008874:0.35986922166564866	6.369735584584794:3.6445178214819635E-113	8.06054021029694:0.08024627051180357	10.015120217068452	11.007218094485522	11.15468422983902	17.40209335916562	17.40209335916562:4.9E-324
35000	0:0.2875657022204375	0.04012980099374862	0.3063012480871842	1.0560707916845067	3.1870970425903202:1.143349E-317	3.1870970425903202:5.339033801467151E-10	4.088639316247766:0.9008969356990933	4.3386074144648115:6.37118137E-315	4.3386074144648115:2.654448105107001E-7	5.0804956171276014:0.7094926956156407	5.887252279193453:6.2483467949261E-18	6.143661856767509	6.243258089600791:0.7230363479016589	6.487236929583323:7.388632831638948E-109	8.014530271865414:0.13897641377758274	10.176760909957332	11.015704336311751	11.033672242425329	17.40209335916562	17.40209335916562:4.9E-324
40000	0:0.5608231686612871	0.32622644549108437	0.4141529383286303	1.1365286644602017	3.1870970425903202:4.26401E-317	3.1870970425903202:5.14797262735299E-9	4.0148137814271605:0.8567460735102621	4.325950936749413:7.37088021E-315	4.325950936749413:5.7619757288934685E-8	5.02102936016142:0.1446845457135946	5.106644804145929:1.4044957158118456E-21	6.08688981267551	6.138253132289007:0.34922342082904745	6.666989917810615:5.970720784066324E-109	8.053069048913565:0.08229462271656528	10.24881102061552	11.00361782148688	11.018463378169269	17.38943688145022	17.38943688145022:4.9E-324
45000	0:1.0531411932510915	0.16834069931440093	0.23822018423125213	1.1821723810394638	3.1870970425903202:1.1444996E-317	3.1870970425903202:1.949739066880006E-10	4.030572350148617:0.423816725347507	4.325950936749413:3.040106558E-314	4.325950936749413:3.5650791866022566E-6	5.025544994584158:0.13080865643313286	5.1035001162474485:1.14851745638747E-25	6.123637143654084	6.4091378193369115:0.3984230221139628	6.854485680894459:1.2660248213302027E-119	8.036246319374477:0.15453687010248252	10.302749384652914	11.001665097125057	11.132171935447342	17.38943688145022	17.38943688145022:4.9E-324
